Rk,Team,G,MP,PTS
1,Los Angeles Clippers*,82,240.9,107.9
2,Houston Rockets*,82,241.8,107.7
3,Minnesota Timberwolves,82,242.1,106.9
4,Portland Trail Blazers*,82,242.1,106.7
5,Oklahoma City Thunder*,82,241.5,106.2
6,San Antonio Spurs*,82,240.9,105.4
7,Phoenix Suns,82,240.9,105.2
8,Dallas Mavericks*,82,241.8,104.8
9,Denver Nuggets,82,240.9,104.4
10,Golden State Warriors*,82,241.8,104.3
11,Los Angeles Lakers,82,240.3,103.0
12,Miami Heat*,82,242.4,102.2
13,Toronto Raptors*,82,243.4,101.3
14,Atlanta Hawks*,82,241.8,101.0
15,Detroit Pistons,82,241.2,101.0
16,Washington Wizards*,82,244.6,100.7
17,Sacramento Kings,82,241.8,100.5
18,New Orleans Pelicans,82,242.1,99.7
19,Philadelphia 76ers,82,242.1,99.5
20,New York Knicks,82,242.1,98.6
21,Brooklyn Nets*,82,242.4,98.5
22,Cleveland Cavaliers,82,243.0,98.2
23,Charlotte Bobcats*,82,242.7,96.9
24,Indiana Pacers*,82,241.2,96.7
25,Orlando Magic,82,243.4,96.5
26,Boston Celtics,82,240.6,96.2
27,Memphis Grizzlies*,82,241.5,96.1
28,Milwaukee Bucks,82,242.4,95.5
29,Utah Jazz,82,241.2,95.0
30,Chicago Bulls*,82,243.0,93.7
