Rk,Team,G,MP,PTS
1,Utah Jazz*,82,240.9,96.8
2,San Antonio Spurs*,82,241.5,98.1
3,Memphis Grizzlies*,82,242.7,100.0
4,Dallas Mavericks,82,241.2,100.8
5,Miami Heat,82,241.2,102.1
6,Chicago Bulls*,82,241.2,102.4
7,Detroit Pistons,82,241.5,102.5
8,Toronto Raptors*,82,241.2,102.6
9,Milwaukee Bucks*,82,241.2,103.8
10,Atlanta Hawks*,82,242.4,104.0
11,Golden State Warriors*,82,241.2,104.3
12,Los Angeles Clippers*,82,240.9,104.4
13,Charlotte Hornets,82,241.8,104.7
14,Indiana Pacers*,82,242.1,105.3
15,Boston Celtics*,82,240.9,105.4
16,Oklahoma City Thunder*,82,241.5,105.8
17,New Orleans Pelicans,82,242.7,106.4
18,Minnesota Timberwolves,82,241.5,106.7
19,Sacramento Kings,82,242.4,106.7
20,Cleveland Cavaliers*,82,242.4,107.2
21,Washington Wizards*,82,242.1,107.4
22,Orlando Magic,82,241.5,107.6
23,New York Knicks,82,242.1,108.0
24,Philadelphia 76ers,82,241.8,108.1
25,Portland Trail Blazers*,82,243.0,108.5
26,Houston Rockets*,82,241.2,109.6
27,Denver Nuggets,82,240.9,111.2
28,Los Angeles Lakers,82,240.3,111.5
29,Brooklyn Nets,82,240.9,112.5
30,Phoenix Suns,82,241.8,113.3
